"","X","acousticness","artists","danceability","duration","energy","id","instrumentalness","key","liveness","loudness","mode","names","popularity","preview_url","speechiness","tempo","time_signature","valence","cluster","pc1","pc2","membership.1","membership.2","membership.3","membership.4","membership.5","membership.6","membership.7"
"854",853,0.491,"The Marlowe Society",0.652,68493,0.0342,"3PwCSMfphfh9fgSw9duiTL",0,9,0.185,-27.997,0,"Sonnet 81",3,"https://p.scdn.co/mp3-preview/52c72febad2791525b053ddee8c75e5bc2a58792?cid=4a1a457d14c0445a96e7021a5523905b",0.612,78.613,4,0.395,4,-2.76196195323862,3.4366467804674,0.0518915558026484,0.0379399846898357,0.0379399880913459,0.758408512137888,0.0379399846951253,0.0379399880908446,0.0379399864923123
"855",854,7.89e-06,"Alexisonfire",0.251,249160,0.927,"3PWE0ILsfYcCCoOkD2s4pG",0.000401,5,0.357,-5.719,0,"Accidents",35,"https://p.scdn.co/mp3-preview/5e87cce49f64a1c8ad8d681ba4b93741af1fff83?cid=4a1a457d14c0445a96e7021a5523905b",0.0686,106.561,4,0.308,2,0.904104203541984,-1.0602616367002,0.0117405316410794,0.195793599844115,0.195793578810887,0.00929152234818695,0.195793599811719,0.195793578814251,0.195793588729761
"856",855,0.624,"Juhn",0.773,301840,0.823,"3pwkxOZeWVYifM3RPA1TST",0,7,0.796,-4.382,0,"No Te Miento (Remix) [feat. Baby Rasta, Darkiel, Darell & Jory Boy]",51,"https://p.scdn.co/mp3-preview/686636d44dc03f11af9d7dc6d271028a058c1a9f?cid=4a1a457d14c0445a96e7021a5523905b",0.0633,119.997,4,0.468,2,1.34751097299069,0.584442449967421,0.0194565603168952,0.189191941653193,0.189191931073281,0.0345837581908243,0.189191941636496,0.18919193107479,0.189191936054521
"857",856,0.939,"Georg Philipp Telemann",0.275,214960,0.0228,"3PwtTSp3Fwq33YVppSG3de",0.00442,1,0.1,-27.077,1,"Flute Sonata in B minor / si mineur / h-moll: III. Dolce",24,"https://p.scdn.co/mp3-preview/3c466b4466e24ba7703e86cb1691224f1856c5b2?cid=4a1a457d14c0445a96e7021a5523905b",0.0394,86.044,3,0.276,1,-3.50056602872986,0.0922362306421771,0.66045654312086,0.0526590669415924,0.0526590756679075,0.0762481000814777,0.0526590669552383,0.0526590756666096,0.0526590715663148
"858",857,0.0521,"Bad Suns",0.616,182518,0.88,"3pxDFUN3LrSGq6RrUKHtaG",0.000717,1,0.0539,-3.59,1,"Cardiac Arrest",46,"https://p.scdn.co/mp3-preview/3d4ad3b61ff538716212c915466010e1a0eefc15?cid=4a1a457d14c0445a96e7021a5523905b",0.042,94.011,4,0.757,2,2.0729698500426,0.230439215262248,0.00387996755147219,0.198231292951816,0.198231209705653,0.00496377836387023,0.198231292821568,0.198231209717768,0.198231248887852
"859",858,0.222,"Bryson Tiller",0.765,198293,0.356,"3pXF1nA74528Edde4of9CC",0,11,0.0963,-5.556,0,"Don't",79,"https://p.scdn.co/mp3-preview/5ab22367ec125e114c0b3bb8b4f7223ceabb6514?cid=4a1a457d14c0445a96e7021a5523905b",0.196,97.001,4,0.191,2,0.68033080986058,0.0203845391319046,0.0247213610790731,0.18945840719806,0.189458390930434,0.0279866440883183,0.189458407172865,0.189458390932899,0.189458398598351
"860",859,0.193,"Jade Jackson",0.539,243280,0.52,"3PY2ZPSadkI2lTIspCGe4s",0.000149,10,0.294,-8.394,1,"Finish Line",31,"https://p.scdn.co/mp3-preview/63847a259a4de32a6ec4a09db312c2c5268260c6?cid=4a1a457d14c0445a96e7021a5523905b",0.0244,139.994,4,0.494,2,0.566028658245128,-0.119806016767578,0.00626991449295636,0.197305845527742,0.197305831018144,0.00720089456404418,0.197305845505555,0.197305831020534,0.197305837871024
"861",860,0.369,"Caitlyn Smith",0.649,230653,0.447,"3pY6tTmLHJIJRjZK5Zy7Uj",2.32e-05,0,0.0961,-8.43,1,"Everything to You",40,"https://p.scdn.co/mp3-preview/a48335d1a7f4906c0b45f839bc1d59cf4335ad08?cid=4a1a457d14c0445a96e7021a5523905b",0.0295,82.035,4,0.422,2,0.0866309931947753,0.276684298950139,0.0134968654012677,0.195159233746338,0.195159213243076,0.0107070177158213,0.195159233715389,0.195159213245883,0.195159222932225
"862",861,0.59,"Justin Bieber",0.845,205680,0.567,"3pzjHKrQSvXGHQ98dx18HI",0.00142,5,0.0811,-8.118,0,"What Do You Mean?",77,"https://p.scdn.co/mp3-preview/526dec83536a90eccfaaa6277e802c8ea42ee7a9?cid=4a1a457d14c0445a96e7021a5523905b",0.0956,125.02,4,0.794,2,1.44596023868415,0.610421765629011,0.0103687059240898,0.195272127927005,0.195272086543628,0.0132707591640771,0.19527212786264,0.195272086549455,0.195272106029105
"863",862,0.668,"She-Devils",0.349,231627,0.869,"3pZMeO5AXExRujIueYCEPI",0.000321,5,0.112,-8.307,1,"The World Laughs",37,"https://p.scdn.co/mp3-preview/42e34c87509ea46ad56d6aa5210b82929728e918?cid=4a1a457d14c0445a96e7021a5523905b",0.338,99.756,4,0.289,3,-0.291086900049228,0.0397139770529116,0.0256847306388383,0.188067441472499,0.188067443498827,0.0339780568409935,0.188067441475976,0.188067443498281,0.188067442574585
